Grantee,Disaster Type,Disbursement_Velocity,Disbursement_TV_Mean,Disbursement_TV_Std,Disbursement_TV_Count,Disbursement_TV_Min,Disbursement_TV_Max,Disbursement_TV_Lag1_Mean,Disbursement_TV_Lag1_Std,Disbursement_TV_Lag1_Count
Kentucky,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.01756356914304079,1.7563569143040778,28.88395750565776,4,-32.3566529764587,38.31005807200929,2.163638879192399,35.361408769864155,3
Kentucky,2022 Disasters including Hurricanes Fiona and Ian,0.0061890641003760904,0.618906410037609,,1,0.618906410037609,0.618906410037609,,,0
"Lake Charles, LA","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.04522945496066688,4.40949401384155,4.423261203395632,2,1.2817760219611298,7.53721200572197,7.53721200572197,,1
"Lee County, FL",2022 Disasters including Hurricanes Fiona and Ian,0.01665180251067975,1.0528151817972045,2.742397800693863,4,-2.3496201050600454,3.500627808367941,1.3958309317967863,3.2519470655884226,3
"Lexington County, SC",2015 Hurricane Joaquin and Patricia and Other Events,0.0263620259936299,2.63620259936299,4.204083533046462,31,-8.756111126810751,13.332662553393448,2.717697168928404,4.250975876833241,30
"Lexington County, SC",2015-2018 Mitigation,0.025898701761606847,2.5020675040166642,3.679655876556791,16,-1.404842754304332,10.581038524860059,2.5596669686132754,3.801332125067174,15
Louisiana,"2005 Hurricanes Katrina, Rita, Wilma",0.013194527237793813,0.9644772950384887,10.785664690506078,74,-21.81682070393537,88.98052953408207,0.9775277185992823,10.859718542844353,73
Louisiana,2008 Hurricane Ike and Other Events,0.015755905766479564,1.3057440262338262,10.268208521290074,62,-27.79937077039084,70.72234445333369,1.3268560569087995,10.352066440708352,61
Louisiana,2011-2013 Hurricane Sandy and Other Events,0.022633328301668393,1.7712500920977554,10.757266607334016,44,-27.151892719543184,59.08245186317913,1.8097338535453682,10.881510855829733,43
Louisiana,2013 National Disaster Resilience,0.02994687269637716,2.828456846900645,12.36004958915302,31,-23.579772029372837,49.38073047480667,2.9087795705761526,12.563116043905868,30
Louisiana,2015-2018 Mitigation,0.010613318467704804,1.0613318467704804,2.3481586926795,18,-6.330794085667396,5.062155628437037,1.0882348323557938,2.4175654511342293,17
Louisiana,2016 Louisiana Floods and Other Events,0.029313802573323063,2.930200768876878,2.7213519520639173,31,-2.6376413937591603,11.005298888646841,3.008872566214049,2.7317841166063555,30
Louisiana,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.04306475931689419,4.1423934030854275,5.613234446261372,9,-9.000864476565386,9.780826368155822,4.1046858972748135,5.9995813420361825,8
"Luzerne County, PA",2011 Multiple Disasters,0.020042002784294397,1.8773216440483758,3.0992915070385063,49,-4.448986756797973,10.640841569281639,1.9163255996683237,3.119912228954438,48
"Luzerne County, PA",2011-2013 Hurricane Sandy and Other Events,0.0761530002706334,7.605199420066667,8.019911393585073,13,0.06630141477202978,19.827533741060567,8.233440920507887,8.035469740201949,12
Maryland,2011-2013 Hurricane Sandy and Other Events,0.027004891640063845,0.34118746208322026,9.599297272026156,35,-24.544229164241692,27.557272093738284,0.35019059110275624,9.743505714271755,34
Michigan,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0058307244954043025,0.5830724495404308,16.109291721496312,4,-21.50710179391015,16.172908733093497,0.7103265359992221,19.727309954407918,3
"Minot, ND",2011 Multiple Disasters,0.02117311654407195,-0.010572874844822427,0.18926142308336585,46,-0.7692296174767077,0.6223297115774962,-0.010911831444392957,0.19138591762553556,45
"Minot, ND",2011-2013 Hurricane Sandy and Other Events,0.03381249150381383,-0.008102869105514277,8.198255510916951,29,-30.93718498215665,29.113438547070146,-0.010401155519945329,8.348685251875924,28
"Minot, ND",2013 National Disaster Resilience,0.030509943746079272,-0.025233957340555696,3.650943846613631,32,-9.153476668601124,9.125895506820747,-0.02342948224746235,3.7112796087225104,31
