model,variable,HR,HR_Lower,HR_Upper,p_value,concordance,n_obs,n_events
velocity_pp_full_lag2,Population_log,0.9965721265032347,0.9451245736282139,1.05082021040949,0.898961789885858,0.693296009187482,3148,33
velocity_index_scaled_only_lag2,Capacity_Velocity_Index_pp_lag2_scaled,1.0001240591260905,0.8957964750636817,1.1166019977604187,0.9982390394856545,0.5920542635658915,3155,33
velocity_index_scaled_full_lag2,Capacity_Velocity_Index_pp_lag2_scaled,1.00012686000117,0.8956450606935389,1.1167970214911447,0.9982020894433181,0.6934036749928223,3148,33
velocity_index_scaled_full_lag2,Government_Type_State,1.0101832659865542,0.814823315811371,1.2523822171965155,0.9263800686097476,0.6934036749928223,3148,33
velocity_index_scaled_full_lag2,Prior_Grant_Count,1.0021098323894329,0.912685290707957,1.100296155088261,0.964749559735792,0.6934036749928223,3148,33
velocity_index_scaled_full_lag2,Prior_Grant_Dollars_log,1.0017446004893482,0.9907888718246372,1.0128214730162766,0.7560492382790373,0.6934036749928223,3148,33
velocity_index_scaled_full_lag2,Disaster_Year,1.0016514813024926,0.9742693440450038,1.0298032018845216,0.9071095218162417,0.6934036749928223,3148,33
velocity_index_scaled_full_lag2,Population_log,0.9965722140372666,0.9451246678609703,1.0508202902362873,0.8989643380661152,0.6934036749928223,3148,33
velocity_pp_roll2_only_lag1,Disbursement_Velocity_pp_roll2_lag1,0.9998956503703967,0.9917411887833332,1.0081171609461752,0.9800727676083115,0.4023112259546368,3155,33
velocity_pp_roll2_only_lag1,Expenditure_Velocity_pp_roll2_lag1,0.9999601189537368,0.9963575480456913,1.0035757158253762,0.9827207841179599,0.4023112259546368,3155,33
velocity_pp_roll2_full_lag1,Disbursement_Velocity_pp_roll2_lag1,0.9998953515029615,0.9917243517642759,1.008133673614654,0.9800563149351543,0.6861541774332472,3148,33
velocity_pp_roll2_full_lag1,Expenditure_Velocity_pp_roll2_lag1,0.999959859493636,0.9963558732760709,1.0035768819335034,0.9826152292041891,0.6861541774332472,3148,33
velocity_pp_roll2_full_lag1,Government_Type_State,1.0101819482046883,0.8148222763580197,1.2523805473750236,0.9263895106389342,0.6861541774332472,3148,33
velocity_pp_roll2_full_lag1,Prior_Grant_Count,1.0021102796896413,0.9126856114855827,1.1002967506248609,0.964742134882208,0.6861541774332472,3148,33
velocity_pp_roll2_full_lag1,Prior_Grant_Dollars_log,1.0017445876167694,0.9907888591027353,1.0128214599912442,0.7560509793752709,0.6861541774332472,3148,33
velocity_pp_roll2_full_lag1,Disaster_Year,1.0016521092610633,0.9742699249557628,1.0298038790766253,0.9070744926447843,0.6861541774332472,3148,33
velocity_pp_roll2_full_lag1,Population_log,0.9965733501953051,0.9451256877257306,1.0508215523263849,0.8989978202140677,0.6861541774332472,3148,33
velocity_index_roll2_only_lag1,Capacity_Velocity_Index_pp_roll2_lag1_scaled,0.9985338158224047,0.8943990962283402,1.1147929213540932,0.9791682923066208,0.3983634797588286,3155,33
velocity_index_roll2_full_lag1,Capacity_Velocity_Index_pp_roll2_lag1_scaled,0.9985259587287811,0.8942937820070707,1.1149066563087746,0.9790774714804951,0.6875897215044502,3148,33
velocity_index_roll2_full_lag1,Government_Type_State,1.0101823650245203,0.8148226080072825,1.2523810711415764,0.926386522882193,0.6875897215044502,3148,33
velocity_index_roll2_full_lag1,Prior_Grant_Count,1.0021100989504723,0.9126854856138468,1.1002965054748426,0.9647451334703834,0.6875897215044502,3148,33
velocity_index_roll2_full_lag1,Prior_Grant_Dollars_log,1.0017445958085756,0.9907888673384708,1.0128214681371426,0.7560498683514201,0.6875897215044502,3148,33
velocity_index_roll2_full_lag1,Disaster_Year,1.001651876459514,0.9742697240539432,1.029803612740936,0.907087429372736,0.6875897215044502,3148,33
velocity_index_roll2_full_lag1,Population_log,0.9965726957343,0.9451251172595392,1.0508208064164697,0.8989784993772818,0.6875897215044502,3148,33
velocity_pp_roll2_only_lag0,Disbursement_Velocity_pp_roll2_lag0,0.9998991132684664,0.9917681123746542,1.0080967760913224,0.9806780925034408,0.43439563594602354,3301,33
velocity_pp_roll2_only_lag0,Expenditure_Velocity_pp_roll2_lag0,0.9999501140013072,0.9963513904450426,1.003561835794297,0.9783638699633223,0.43439563594602354,3301,33
velocity_pp_roll2_full_lag0,Disbursement_Velocity_pp_roll2_lag0,0.9998994361206569,0.9917522069137867,1.0081135946908162,0.9807784236486542,0.6864053976457077,3293,33
velocity_pp_roll2_full_lag0,Expenditure_Velocity_pp_roll2_lag0,0.9999500152641273,0.9963498892330567,1.0035631496847002,0.9783295165871573,0.6864053976457077,3293,33
velocity_pp_roll2_full_lag0,Government_Type_State,1.0097692430365146,0.8180669484755893,1.2463942298152397,0.9278840015361087,0.6864053976457077,3293,33
velocity_pp_roll2_full_lag0,Prior_Grant_Count,1.0020224820528176,0.9152494884269061,1.097022251566628,0.9651280667018998,0.6864053976457077,3293,33
velocity_pp_roll2_full_lag0,Prior_Grant_Dollars_log,1.001669184681947,0.9909582127246437,1.0124959283426351,0.7610811133973829,0.6864053976457077,3293,33
velocity_pp_roll2_full_lag0,Disaster_Year,1.0015436378870914,0.9751030094839404,1.028701223189723,0.9100327329311104,0.6864053976457077,3293,33
velocity_pp_roll2_full_lag0,Population_log,0.9967161923839132,0.9462502995757786,1.049873557351226,0.901255167589162,0.6864053976457077,3293,33
velocity_index_roll2_only_lag0,Capacity_Velocity_Index_pp_roll2_lag0_scaled,0.9983427724752988,0.8963802112411893,1.111903496813683,0.97592713882844,0.43116566178581683,3301,33
velocity_index_roll2_full_lag0,Capacity_Velocity_Index_pp_roll2_lag0_scaled,0.9983414642179604,0.8962838133202741,1.112020170803542,0.9759318519706555,0.6880203847258111,3293,33
velocity_index_roll2_full_lag0,Government_Type_State,1.0097693722876189,0.8180670382870978,1.2463944120583117,0.9278830608472677,0.6880203847258111,3293,33
velocity_index_roll2_full_lag0,Prior_Grant_Count,1.0020225441541102,0.9152495630610094,1.0970222980878352,0.9651269901753207,0.6880203847258111,3293,33
velocity_index_roll2_full_lag0,Prior_Grant_Dollars_log,1.0016692226643928,0.990958251013126,1.0124959660079558,0.761075831178124,0.6880203847258111,3293,33
velocity_index_roll2_full_lag0,Disaster_Year,1.0015435446612047,0.9751029328962662,1.0287011124796213,0.9100380904466531,0.6880203847258111,3293,33
velocity_index_roll2_full_lag0,Population_log,0.9967157874234501,0.9462499367532794,1.0498731067901497,0.9012429895286657,0.6880203847258111,3293,33
velocity_pp_roll2_only_lag2,Disbursement_Velocity_pp_roll2_lag2,0.9999236829588065,0.9917140910844295,1.008201235346551,0.9855233947680174,0.3882209381617198,3016,33
velocity_pp_roll2_only_lag2,Expenditure_Velocity_pp_roll2_lag2,0.999956544593298,0.9963484089006908,1.0035777466420714,0.9812015190258249,0.3882209381617198,3016,33
velocity_pp_roll2_full_lag2,Disbursement_Velocity_pp_roll2_lag2,0.9999219682626221,0.9916954425313351,1.0082167364428558,0.9852287743502595,0.6887987653877903,3010,33
velocity_pp_roll2_full_lag2,Expenditure_Velocity_pp_roll2_lag2,0.999956024234769,0.9963464670998612,1.0035786580484631,0.9809839668239061,0.6887987653877903,3010,33
velocity_pp_roll2_full_lag2,Government_Type_State,1.0106528252464078,0.8116185116798295,1.25849659474189,0.9245553759604536,0.6887987653877903,3010,33
velocity_pp_roll2_full_lag2,Prior_Grant_Count,1.0021842212688352,0.9099343694855343,1.1037864345404187,0.9646768991035723,0.6887987653877903,3010,33
velocity_pp_roll2_full_lag2,Prior_Grant_Dollars_log,1.001820927368372,0.9906135975500276,1.0131550515714975,0.7512759162431846,0.6887987653877903,3010,33
velocity_pp_roll2_full_lag2,Disaster_Year,1.0017756013410264,0.9734451026472468,1.0309306120222366,0.903529250050395,0.6887987653877903,3010,33
velocity_pp_roll2_full_lag2,Population_log,0.996423102770449,0.9439854167688553,1.0517736631283157,0.8966348569139181,0.6887987653877903,3010,33
velocity_index_roll2_only_lag2,Capacity_Velocity_Index_pp_roll2_lag2_scaled,0.9985531096566932,0.8921742754286222,1.1176160759914502,0.9799005123737434,0.38954886408498723,3016,33
velocity_index_roll2_full_lag2,Capacity_Velocity_Index_pp_roll2_lag2_scaled,0.998531446559101,0.8920539718059155,1.1177183010002252,0.9796198914366777,0.6901984710906938,3010,33
velocity_index_roll2_full_lag2,Government_Type_State,1.0106535461307464,0.8116191184405466,1.2584974492336025,0.9245503009213426,0.6901984710906938,3010,33
velocity_index_roll2_full_lag2,Prior_Grant_Count,1.0021838386490596,0.909934065618556,1.1037859603229723,0.96468305853981,0.6901984710906938,3010,33
velocity_index_roll2_full_lag2,Prior_Grant_Dollars_log,1.0018208860966078,0.9906135592710351,1.0131550072441438,0.7512813077999306,0.6901984710906938,3010,33
velocity_index_roll2_full_lag2,Disaster_Year,1.0017752996222529,0.9734448508021822,1.0309302577400874,0.9035454061822225,0.6901984710906938,3010,33
velocity_index_roll2_full_lag2,Population_log,0.9964227752168808,0.9439851327556922,1.0517732880734543,0.8966253745474726,0.6901984710906938,3010,33
velocity_pp_roll4_only_lag1,Disbursement_Velocity_pp_roll4_lag1,0.9998124295104543,0.9840663611602742,1.015810451060413,0.9815215118095814,0.6755437513459192,2886,33
velocity_pp_roll4_only_lag1,Expenditure_Velocity_pp_roll4_lag1,1.0005514427150783,0.9919951298490699,1.0091815568404456,0.8998798593536587,0.6755437513459192,2886,33
velocity_pp_roll4_full_lag1,Disbursement_Velocity_pp_roll4_lag1,0.9998098494648673,0.9840266623662102,1.0158461892518795,0.9813118083449646,0.7049027349077597,2881,33
velocity_pp_roll4_full_lag1,Expenditure_Velocity_pp_roll4_lag1,1.0005513721769788,0.9919887227764587,1.0091879326644624,0.899966611742132,0.7049027349077597,2881,33
velocity_pp_roll4_full_lag1,Government_Type_State,1.0110647666849517,0.8085044662907889,1.2643739212988223,0.9231482038548757,0.7049027349077597,2881,33
velocity_pp_roll4_full_lag1,Prior_Grant_Count,1.0022795719916555,0.9069531487525088,1.1076253958801832,0.9643823802439216,0.7049027349077597,2881,33
