source,model,capacity_set,variable,p_value,effect_ratio,effect_lower,effect_upper,n,events,interpretation,bonferroni,rank,bh_raw,bh_fdr,sig_bonferroni,sig_bh_fdr
capacity_sets,Cox_PH,ratio_velocity_pp_threshold_interaction,Disbursement_Velocity_pp_c,0.0910314866551659,1.120094257668625,0.9820449172385464,1.2775496558651538,151,40,Hazard Ratio (>1 = faster completion),1.0,125,0.3473761530761131,0.3473761530761131,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_q75_interaction,Ratio_disbursed_to_obligated_above_q75,0.0945284556888409,7.816993098287802,0.7017478435487251,87.07597987002057,151,40,Hazard Ratio (>1 = faster completion),1.0,126,0.3578577251077549,0.3578577251077549,False,False
capacity_sets,Cox_PH,velocity_winsor,Disbursement_Velocity_winsor,0.0953180165359169,2049015.5922611156,0.0785572338497486,53444663102055.03,151,40,Hazard Ratio (>1 = faster completion),1.0,127,0.3580054636821446,0.3580054636821446,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_interaction,Ratio_disbursed_to_obligated_x_Capacity_Velocity_Index_pp,0.1033928718710882,1.670239547465009,0.9008987181244708,3.0965746646014036,151,40,Hazard Ratio (>1 = faster completion),1.0,130,0.3793723067885313,0.3793723067885313,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_q33_interaction,Ratio_disbursed_to_obligated_above_q33,0.1044179490019499,3.2338608901219374,0.7842904496348055,13.33416244138866,151,40,Hazard Ratio (>1 = faster completion),1.0,131,0.38020886773992446,0.38020886773992446,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_q33_interaction,Ratio_disbursed_to_obligated_above_q33,0.1080679220765739,3.210853162435436,0.7739293891382302,13.321083519261808,151,40,Hazard Ratio (>1 = faster completion),1.0,132,0.3905181729585284,0.3905181729585284,False,False
capacity_sets,Cox_PH,quartiles_velocity_winsor,Capacity_Velocity_Index_winsor_Q2,0.1123128387029131,0.5749574663123477,0.2903674942547524,1.1384748451845823,156,41,Hazard Ratio (>1 = faster completion),1.0,133,0.4028061959495455,0.39630161626991645,False,False
capacity_sets,Cox_PH,quartiles_velocity,Capacity_Velocity_Index_Q2,0.1123128387029131,0.5749574663123477,0.2903674942547524,1.1384748451845823,156,41,Hazard Ratio (>1 = faster completion),1.0,134,0.3998001795618623,0.39630161626991645,False,False
capacity_sets,Cox_PH,quartiles_velocity_pp,Capacity_Velocity_Index_pp_Q2,0.1123128387029131,0.5749574663123477,0.2903674942547524,1.1384748451845823,156,41,Hazard Ratio (>1 = faster completion),1.0,135,0.396838696750293,0.39630161626991645,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_q25_interaction,Ratio_disbursed_to_obligated_above_q25_x_Disbursement_Velocity_pp,0.1149962636565661,1.187649221573964,0.9589834759945788,1.4708393927667809,151,40,Hazard Ratio (>1 = faster completion),1.0,137,0.40038845083344543,0.40038845083344543,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_threshold_q67_interaction,Ratio_disbursed_to_obligated_high_q67,0.1187758822950799,1.6516719323293174,0.8792558221189863,3.1026466966917496,151,40,Hazard Ratio (>1 = faster completion),1.0,138,0.4105514192373414,0.4105514192373414,False,False
