Model,Variable,Coefficient,SE,Effect_Ratio,Effect_Lower,Effect_Upper,p_value,Interpretation,Capacity_Set,N,Events
Cox_PH,Ratio_disbursed_to_obligated_high,0.5265064319281408,0.42218621604089474,1.6930073286355645,0.7401048998463876,3.872793999078562,0.21236256809737952,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_interaction,151,40
Cox_PH,Capacity_Velocity_Index_pp_c,0.22319996484926044,0.10692479059890335,1.250070518907905,1.0137245549646614,1.5415196313333401,0.036847636153311845,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_x_Capacity_Velocity_Index_pp,0.395731163602043,0.13196154779526134,1.4854699154855362,1.1469328387297832,1.9239320693410584,0.002710123117587596,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_interaction,151,40
AFT_lognormal,Capacity_Velocity_Index_pp_c,-0.7427115513183109,5173585.460283577,0.47582194906269515,0.0,inf,0.9999998854569845,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high,-9.105989418394195,0.04747417677166437,0.00011099899415116708,0.00010113674003221353,0.00012182295670837794,0.0,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_x_Capacity_Velocity_Index_pp,0.5711508687772394,5173585.46028358,1.770303266256336,0.0,inf,0.9999999119155442,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q25,0.15926669473068267,0.5660164642535186,1.1726506447292842,0.3867003443588115,3.5560080425169454,0.7784176258112931,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_q25_interaction,151,40
Cox_PH,Disbursement_Velocity_pp_c,0.11498803971125733,0.06715932524823279,1.121860019721933,0.9834958910948124,1.2796900477636723,0.08686573438848001,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_q25_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q25_x_Disbursement_Velocity_pp,0.12288304083692267,0.0708864428947745,1.1307521613867126,0.984076309896469,1.2992899408535086,0.08300335010596634,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_q25_interaction,151,40
AFT_lognormal,Disbursement_Velocity_pp_c,-0.9399612770775693,,0.3906429619027591,,,,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_q25_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q25,-7.6433970822972634,0.04875114573760775,0.00047919780951748397,0.0004355296975500815,0.000527244277343337,0.0,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_q25_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q25_x_Disbursement_Velocity_pp,0.8619623993735694,,2.3678027120279856,,,,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_q25_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q33,0.15439765640484104,0.5145252685221572,1.1669548415919435,0.42568598070112706,3.1990332405872257,0.7641177445006476,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_q33_interaction,151,40
Cox_PH,Disbursement_Velocity_pp_c,0.11415343868854202,0.06715210946781731,1.120924104814226,0.9826893046063988,1.278604379699476,0.08914534473346886,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_q33_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q33_x_Disbursement_Velocity_pp,0.13206887650877808,0.07364665165202545,1.1411869175311598,0.9877991332695474,1.3183931194935565,0.07292857813098852,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_q33_interaction,151,40
AFT_lognormal,Disbursement_Velocity_pp_c,-0.6397584539583175,1223629.5908371503,0.5274198048244277,0.0,inf,0.9999995828366715,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_q33_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q33,-5.970633880300993,4246460.990097803,0.0025526228487176192,0.0,inf,0.9999988781536903,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_q33_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q33_x_Disbursement_Velocity_pp,0.5618333873014953,1223629.5908371503,1.753885105101769,0.0,inf,0.9999996336487865,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_q33_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q67,0.48543990034290585,0.32483410294532594,1.624889641159535,0.8596557656368429,3.071306506031078,0.1350648157143299,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_q67_interaction,151,40
Cox_PH,Disbursement_Velocity_pp_c,0.12345134542178848,0.06713094240395259,1.1313949556585412,0.9919100175383174,1.2904946245692535,0.06592057098427519,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_q67_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q67_x_Disbursement_Velocity_pp,0.09725658923624607,0.07706393818969919,1.102143135407992,0.9476349221436666,1.2818433159672025,0.20693991841372789,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_q67_interaction,151,40
AFT_lognormal,Disbursement_Velocity_pp_c,-0.25331338847939966,0.04773137220729868,0.776224583860331,0.7069006410644652,0.8523469489033854,1.1140582118653403e-07,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_q67_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q67,-0.23633177940142897,0.11409893333197316,0.7895186844373074,0.6313079002651705,0.9873783502690099,0.03833186712510829,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_q67_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q67_x_Disbursement_Velocity_pp,0.18440184359081652,0.04985467844252184,1.2024989425135924,1.090556884933166,1.3259314820931376,0.00021663217846836538,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_q67_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q75,0.6625397235562844,0.2943297221851545,1.9397124172507614,1.0894402895091122,3.4535938296646975,0.02438478015449457,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_q75_interaction,151,40
Cox_PH,Disbursement_Velocity_pp_c,0.12913196037664815,0.06731669430548037,1.137840264089068,0.9971975980595665,1.2983188779250785,0.05507609680335143,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_q75_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q75_x_Disbursement_Velocity_pp,0.060840859419374796,0.07877270666375831,1.0627297772954742,0.910691745272324,1.2401502324068672,0.4399014506617347,Hazard Ratio (>1 = faster completion),ratio_velocity_pp_threshold_q75_interaction,151,40
AFT_lognormal,Disbursement_Velocity_pp_c,-0.22912472816689414,0.037701324293963265,0.7952293398212831,0.7385858268533807,0.8562169485525907,1.221730660894424e-09,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_q75_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q75,-0.2281911071749798,0.09223859322397945,0.7959721293143037,0.6643305561327225,0.9536993666727702,0.013363878048188676,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_q75_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q75_x_Disbursement_Velocity_pp,0.16618064792299733,0.04070777954383423,1.1807863890664265,1.090236740880687,1.278856641244963,4.459557965386582e-05,Time Ratio (<1 = faster completion),ratio_velocity_pp_threshold_q75_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q25,0.11626640444439336,0.5763977458080847,1.1232950830784196,0.36296371147259093,3.476358114558891,0.8401417962305888,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_q25_interaction,151,40
Cox_PH,Capacity_Velocity_Index_pp_c,0.24649755417847624,0.10634996790600681,1.2795360536969551,1.0387888293442649,1.5760782812266736,0.020460398353732392,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_q25_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q25_x_Capacity_Velocity_Index_pp,0.29368540175747565,0.11586222831784293,1.3413618472016224,1.0688674255424488,1.683325323732296,0.01125175699497305,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_q25_interaction,151,40
AFT_lognormal,Capacity_Velocity_Index_pp_c,-2.1403188892151417,16319478.721386785,0.11761733014277452,0.0,inf,0.9999998953564985,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_q25_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q25,-6.6478650365253955,0.044101647852469526,0.0012967877466172712,0.0011894043088670203,0.001413866123772985,0.0,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_q25_interaction,151,40
AFT_lognormal,Ratio_disbursed_to_obligated_high_q25_x_Capacity_Velocity_Index_pp,1.9694981871544863,16319478.721386785,7.167079053468745,0.0,inf,0.9999999037081868,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_q25_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q33,0.11181727664124275,0.5236461504547459,1.118308500889554,0.4007127995429107,3.120973187251331,0.8309089539445862,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_q33_interaction,151,40
Cox_PH,Capacity_Velocity_Index_pp_c,0.23181436738642458,0.10685987313597578,1.260885645604448,1.0226250141077946,1.5546584421058978,0.030057611646170077,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_q33_interaction,151,40
Cox_PH,Ratio_disbursed_to_obligated_high_q33_x_Capacity_Velocity_Index_pp,0.3558205303544873,0.12735699747379817,1.4273513590330096,1.1120502705399664,1.832050183436522,0.005207934242945161,Hazard Ratio (>1 = faster completion),ratio_velocity_index_pp_threshold_q33_interaction,151,40
AFT_lognormal,Capacity_Velocity_Index_pp_c,-0.8698546237716279,,0.41901245927106673,,,,Time Ratio (<1 = faster completion),ratio_velocity_index_pp_threshold_q33_interaction,151,40
