Grantee,Disaster Type,Expenditure_Velocity,Expenditure_TV_Mean,Expenditure_TV_Std,Expenditure_TV_Count,Expenditure_TV_Min,Expenditure_TV_Max,Expenditure_TV_Lag1_Mean,Expenditure_TV_Lag1_Std,Expenditure_TV_Lag1_Count
Florida,"2017 Hurricanes Harvey, Irma and Maria",0.03482133428661798,3.454694662338911,5.2855083173306765,26,-5.994668215427479,15.57382044041099,3.5924702579339924,5.34663671437579,25
Florida,2018 Disasters,0.025620642882905942,2.5620642882905944,7.382808171553767,17,-16.53893225467317,12.617503111959472,2.6972405528528616,7.603172805467915,16
Florida,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0005874827314466449,-0.3859813544513695,2.648329948909772,9,-7.318459446339316,1.476516619972338,-0.4342290237577907,2.8269521154064585,8
Florida,2022 Disasters including Hurricanes Fiona and Ian,0.02381005948421819,2.381005948421819,1.805903434056439,4,0.0,4.383986768176515,3.1746745978957587,1.0547375354838449,3
"Fort Worth, TX","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.005253912438944301,0.5253912438944303,8.589333800187603,3,-7.789187069487371,9.365360801170661,4.682680400585331,6.6223101307664525,2
Georgia,2015-2018 Mitigation,0.04993543671612945,4.9841630398947245,4.462139992270957,15,0.0,13.551963963099457,5.3401746856014904,4.403961547500138,14
Georgia,"2017 Hurricanes Harvey, Irma and Maria",0.024305647515734684,2.3893410446969123,7.104324501396316,22,-23.396641315580425,15.49848483244979,2.50311918968248,7.259198143129389,21
Georgia,2018 Disasters,0.010451523229039687,1.0441341642456934,1.8704714357622523,15,-3.5265446378267757,5.5439117024688676,1.1187151759775287,1.9177951834320406,14
"Hawaii County, HI",2015-2018 Mitigation,0.0,0.0,0.0,2,0.0,0.0,0.0,,1
"Hawaii County, HI",2018 Disasters,0.05803571532535689,5.803571532535689,9.126284833430855,14,-12.300707090454011,24.464011858448032,6.250000111961511,9.338476189327793,13
